usatoday,45
huffingtonpost,-311
washingtonpost,-71
foxnews,777
breitbart,1032
cnn,-134
bbc,-67
nbcnews,-22
dailykos,-1304
wsj,238
chicagotribune,-4
nytimes,-298
latimes,-159
reuters,-50
yahoo,-124
